Iteration,Algorithm,Dataset,ThresholdSim,Training%,NumAddedEdges,NumRemovedEdges,Accuracy
3,SAGEConv,Pubmed,0.8999999999999999,0.015,408,0,0.782
2,SAGEConv,Pubmed,0.8999999999999999,0.015,408,0,0.779
1,SAGEConv,Pubmed,0.8999999999999999,0.015,408,0,0.777
0,SAGEConv,Pubmed,0.8999999999999999,0.015,408,0,0.778
4,SAGEConv,Pubmed,0.8999999999999999,0.02,408,0,0.792
3,SAGEConv,Pubmed,0.8999999999999999,0.02,408,0,0.79
2,SAGEConv,Pubmed,0.8999999999999999,0.02,408,0,0.791
1,SAGEConv,Pubmed,0.8999999999999999,0.02,408,0,0.784
0,SAGEConv,Pubmed,0.8999999999999999,0.02,408,0,0.788
4,SAGEConv,Pubmed,0.8999999999999999,0.025,408,0,0.799
3,SAGEConv,Pubmed,0.8999999999999999,0.025,408,0,0.796
2,SAGEConv,Pubmed,0.8999999999999999,0.025,408,0,0.8
1,SAGEConv,Pubmed,0.8999999999999999,0.025,408,0,0.799
0,SAGEConv,Pubmed,0.8999999999999999,0.025,408,0,0.8
4,SAGEConv,Pubmed,0.8999999999999999,0.03,408,0,0.786
3,SAGEConv,Pubmed,0.8999999999999999,0.03,408,0,0.782
2,SAGEConv,Pubmed,0.8999999999999999,0.03,408,0,0.785
1,SAGEConv,Pubmed,0.8999999999999999,0.03,408,0,0.786
0,SAGEConv,Pubmed,0.8999999999999999,0.03,408,0,0.784
4,GraphConv,Pubmed,0.0,0.005,0,0,0.703
3,GraphConv,Pubmed,0.0,0.005,0,0,0.707
2,GraphConv,Pubmed,0.0,0.005,0,0,0.704
1,GraphConv,Pubmed,0.0,0.005,0,0,0.699
0,GraphConv,Pubmed,0.0,0.005,0,0,0.693
4,GraphConv,Pubmed,0.0,0.01,0,0,0.756
3,GraphConv,Pubmed,0.0,0.01,0,0,0.752
2,GraphConv,Pubmed,0.0,0.01,0,0,0.763
1,GraphConv,Pubmed,0.0,0.01,0,0,0.763
0,GraphConv,Pubmed,0.0,0.01,0,0,0.756
4,GraphConv,Pubmed,0.0,0.015,0,0,0.761
3,GraphConv,Pubmed,0.0,0.015,0,0,0.757
2,GraphConv,Pubmed,0.0,0.015,0,0,0.759
1,GraphConv,Pubmed,0.0,0.015,0,0,0.76
0,GraphConv,Pubmed,0.0,0.015,0,0,0.76
4,GraphConv,Pubmed,0.0,0.02,0,0,0.766
3,GraphConv,Pubmed,0.0,0.02,0,0,0.765
2,GraphConv,Pubmed,0.0,0.02,0,0,0.761
1,GraphConv,Pubmed,0.0,0.02,0,0,0.766
0,GraphConv,Pubmed,0.0,0.02,0,0,0.757
4,GraphConv,Pubmed,0.0,0.025,0,0,0.758
3,GraphConv,Pubmed,0.0,0.025,0,0,0.768
2,GraphConv,Pubmed,0.0,0.025,0,0,0.764
1,GraphConv,Pubmed,0.0,0.025,0,0,0.759
0,GraphConv,Pubmed,0.0,0.025,0,0,0.762
4,GraphConv,Pubmed,0.0,0.03,0,0,0.765
3,GraphConv,Pubmed,0.0,0.03,0,0,0.763
2,GraphConv,Pubmed,0.0,0.03,0,0,0.764
1,GraphConv,Pubmed,0.0,0.03,0,0,0.768
0,GraphConv,Pubmed,0.0,0.03,0,0,0.767
4,GraphConv,Pubmed,0.5,0.005,575574,61591,0.657
3,GraphConv,Pubmed,0.5,0.005,575574,61591,0.659
2,GraphConv,Pubmed,0.5,0.005,575574,61591,0.651
1,GraphConv,Pubmed,0.5,0.005,575574,61591,0.661
0,GraphConv,Pubmed,0.5,0.005,575574,61591,0.661
4,GraphConv,Pubmed,0.5,0.01,575574,61591,0.673
3,GraphConv,Pubmed,0.5,0.01,575574,61591,0.669
2,GraphConv,Pubmed,0.5,0.01,575574,61591,0.676
1,GraphConv,Pubmed,0.5,0.01,575574,61591,0.67
0,GraphConv,Pubmed,0.5,0.01,575574,61591,0.677
4,GraphConv,Pubmed,0.5,0.015,575574,61591,0.711
3,GraphConv,Pubmed,0.5,0.015,575574,61591,0.711
2,GraphConv,Pubmed,0.5,0.015,575574,61591,0.715
1,GraphConv,Pubmed,0.5,0.015,575574,61591,0.711
0,GraphConv,Pubmed,0.5,0.015,575574,61591,0.715
4,GraphConv,Pubmed,0.5,0.02,575574,61591,0.728
3,GraphConv,Pubmed,0.5,0.02,575574,61591,0.724
2,GraphConv,Pubmed,0.5,0.02,575574,61591,0.734
1,GraphConv,Pubmed,0.5,0.02,575574,61591,0.727
0,GraphConv,Pubmed,0.5,0.02,575574,61591,0.726
4,GraphConv,Pubmed,0.5,0.025,575574,61591,0.745
3,GraphConv,Pubmed,0.5,0.025,575574,61591,0.741
